El-lab,El-modarag,Redmi,youssef,Farouk,Ramadan,badra22,STUDBME2,ARC3,CMP_LAB2,CMP_LAB3,STUDBME1,CMP_LAB1,CMP_LAB4,CMP-lab1,ARC1,BMEStudentLab3,STUDBME3,location
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70,-85.0,-82.0,-100,-70.0,-84.0,-83,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-57,-100.0,-100.0,-100,-100.0,-100.0,-71,-100.0,-100.0,-100.0,-100.0,13
-100.0,-71.0,-66.0,-100.0,-100.0,-100.0,-100.0,-60,-100.0,-72.0,-75,-100.0,-84.0,-71,-100.0,-100.0,-100.0,-100.0,7
-100.0,-74.0,-62.0,-100.0,-100.0,-57.0,-100.0,-65,-100.0,-75.0,-74,-100.0,-100.0,-75,-100.0,-100.0,-100.0,-100.0,4
-100.0,-71.0,-69.0,-100.0,-100.0,-100.0,-100.0,-63,-100.0,-73.0,-71,-59.0,-73.0,-70,-100.0,-100.0,-100.0,-100.0,7
-45.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-57,-100.0,-74.0,-70,-100.0,-100.0,-72,-100.0,-100.0,-100.0,-100.0,12
-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78,-100.0,-100.0,-82,-100.0,-100.0,-82,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-100.0,-55,-100.0,-100.0,-100,-100.0,-49.0,-50,-100.0,-100.0,-100.0,-100.0,10
-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-49,-100.0,-100.0,-100,-100.0,-73.0,-73,-100.0,-100.0,-100.0,-100.0,13
-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81,-100.0,-100.0,-100,-100.0,-77.0,-100,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-69.0,-100.0,-58.0,-100.0,-100.0,-50,-100.0,-51.0,-51,-100.0,-52.0,-52,-71.0,-100.0,-87.0,-100.0,10
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61,-100.0,-47.0,-45,-100.0,-45.0,-45,-71.0,-100.0,-100.0,-77.0,10
-100.0,-65.0,-64.0,-100.0,-100.0,-54.0,-100.0,-67,-100.0,-100.0,-76,-44.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-64.0,-100.0,-58.0,-100.0,-100.0,-48,-100.0,-59.0,-61,-100.0,-60.0,-59,-100.0,-100.0,-100.0,-100.0,10
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-48,-100.0,-63.0,-100,-100.0,-62.0,-100,-64.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-49.0,-100.0,-100.0,-61,-100.0,-100.0,-46,-71.0,-47.0,-48,-67.0,-100.0,-100.0,-100.0,11
-77.0,-100.0,-55.0,-100.0,-100.0,-64.0,-100.0,-53,-100.0,-100.0,-67,-100.0,-66.0,-100,-69.0,-100.0,-100.0,-100.0,7
-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80,-100.0,-100.0,-100,-100.0,-86.0,-85,-100.0,-100.0,-100.0,-100.0,6
-100.0,-69.0,-64.0,-100.0,-100.0,-58.0,-100.0,-65,-100.0,-100.0,-100,-100.0,-70.0,-68,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-58,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-100.0,-70.0,-62.0,-100.0,-100.0,-100.0,-100.0,-59,-71.0,-72.0,-68,-56.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,7
-65.0,-100.0,-76.0,-100.0,-100.0,-100.0,-59.0,-54,-100.0,-79.0,-76,-100.0,-100.0,-77,-72.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-49,-100.0,-44.0,-45,-100.0,-46.0,-45,-100.0,-100.0,-100.0,-73.0,11
-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-54,-100.0,-76.0,-76,-100.0,-100.0,-73,-100.0,-100.0,-100.0,-100.0,12
-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71,-100.0,-100.0,-80,-64.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,6
-70.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-46,-100.0,-55.0,-55,-63.0,-53.0,-54,-64.0,-100.0,-100.0,-100.0,10
-100.0,-76.0,-67.0,-100.0,-100.0,-68.0,-100.0,-58,-100.0,-100.0,-100,-48.0,-71.0,-100,-100.0,-100.0,-100.0,-100.0,7
-100.0,-67.0,-55.0,-100.0,-100.0,-73.0,-100.0,-65,-100.0,-100.0,-100,-58.0,-100.0,-66,-68.0,-100.0,-100.0,-100.0,7
-100.0,-72.0,-64.0,-100.0,-100.0,-80.0,-100.0,-60,-100.0,-73.0,-100,-100.0,-73.0,-100,-100.0,-100.0,-100.0,-100.0,7
-73.0,-100.0,-66.0,-100.0,-74.0,-100.0,-100.0,-48,-100.0,-66.0,-67,-100.0,-67.0,-67,-72.0,-100.0,-100.0,-100.0,9
-100.0,-71.0,-71.0,-100.0,-100.0,-100.0,-100.0,-67,-80.0,-73.0,-72,-60.0,-72.0,-71,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-67.0,-100.0,-55.0,-100.0,-100.0,-55,-100.0,-55.0,-54,-100.0,-55.0,-54,-68.0,-100.0,-100.0,-100.0,10
-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-48,-100.0,-100.0,-65,-100.0,-64.0,-64,-61.0,-100.0,-100.0,-100.0,9
-100.0,-62.0,-67.0,-100.0,-100.0,-56.0,-100.0,-57,-100.0,-72.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-46.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-68,-100.0,-100.0,-69,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-48.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-62,-100.0,-81.0,-79,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-68.0,-100.0,-54.0,-100.0,-66.0,-100.0,-100.0,-51,-100.0,-55.0,-54,-100.0,-55.0,-54,-100.0,-100.0,-100.0,-91.0,10
-100.0,-79.0,-86.0,-100.0,-100.0,-100.0,-100.0,-79,-89.0,-100.0,-82,-100.0,-100.0,-86,-100.0,-100.0,-100.0,-100.0,6
-72.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-56,-100.0,-50.0,-51,-100.0,-50.0,-53,-65.0,-100.0,-100.0,-100.0,10
-100.0,-100.0,-69.0,-100.0,-70.0,-100.0,-74.0,-51,-100.0,-100.0,-52,-100.0,-100.0,-100,-57.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-50,-100.0,-49.0,-47,-100.0,-47.0,-47,-100.0,-100.0,-100.0,-100.0,11
-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-47,-100.0,-100.0,-100,-100.0,-67.0,-70,-72.0,-100.0,-100.0,-100.0,13
-100.0,-62.0,-72.0,-100.0,-71.0,-58.0,-100.0,-63,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-49,-100.0,-100.0,-68,-100.0,-100.0,-69,-77.0,-100.0,-100.0,-100.0,13
-100.0,-64.0,-52.0,-100.0,-100.0,-53.0,-100.0,-62,-72.0,-100.0,-72,-46.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66,-100.0,-76.0,-78,-61.0,-76.0,-100,-100.0,-100.0,-100.0,-100.0,6
-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-49,-100.0,-100.0,-66,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-47.0,-51,-100.0,-100.0,-73,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-59.0,-100.0,-54.0,-100.0,-100.0,-51,-100.0,-100.0,-48,-57.0,-100.0,-51,-64.0,-100.0,-100.0,-81.0,10
-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-74.0,-47,-100.0,-100.0,-100,-100.0,-56.0,-100,-63.0,-100.0,-100.0,-100.0,9
-78.0,-100.0,-70.0,-100.0,-75.0,-100.0,-100.0,-50,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-100.0,-47,-100.0,-46.0,-47,-100.0,-52.0,-51,-64.0,-100.0,-100.0,-76.0,11
-100.0,-62.0,-48.0,-100.0,-100.0,-48.0,-90.0,-68,-100.0,-77.0,-100,-33.0,-78.0,-100,-100.0,-79.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,-100.0,-50,-100.0,-79.0,-47,-100.0,-46.0,-47,-81.0,-100.0,-100.0,-100.0,11
-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-57,-100.0,-100.0,-100,-100.0,-100.0,-100,-74.0,-100.0,-100.0,-100.0,13
-100.0,-75.0,-56.0,-100.0,-100.0,-72.0,-100.0,-58,-71.0,-100.0,-100,-100.0,-70.0,-73,-70.0,-100.0,-100.0,-100.0,7
-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-100.0,-54,-100.0,-100.0,-57,-61.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-68.0,-100.0,-60.0,-100.0,-100.0,-47,-100.0,-100.0,-53,-100.0,-100.0,-52,-65.0,-100.0,-100.0,-100.0,10
-79.0,-100.0,-76.0,-100.0,-78.0,-100.0,-100.0,-50,-100.0,-57.0,-60,-100.0,-60.0,-59,-63.0,-100.0,-100.0,-100.0,9
-50.0,-100.0,-70.0,-100.0,-100.0,-100.0,-57.0,-56,-100.0,-100.0,-70,-100.0,-100.0,-71,-76.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78,-82.0,-86.0,-85,-75.0,-80.0,-100,-100.0,-100.0,-100.0,-100.0,6
-100.0,-73.0,-60.0,-100.0,-100.0,-72.0,-100.0,-51,-76.0,-68.0,-67,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,7
-100.0,-72.0,-58.0,-100.0,-100.0,-66.0,-100.0,-60,-69.0,-100.0,-66,-62.0,-67.0,-80,-100.0,-100.0,-100.0,-100.0,7
-100.0,-59.0,-100.0,-100.0,-100.0,-63.0,-100.0,-70,-100.0,-79.0,-77,-53.0,-100.0,-73,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-53,-100.0,-48.0,-48,-100.0,-49.0,-52,-100.0,-100.0,-100.0,-73.0,11
-100.0,-76.0,-72.0,-100.0,-100.0,-100.0,-100.0,-75,-100.0,-74.0,-75,-100.0,-100.0,-72,-100.0,-100.0,-100.0,-100.0,6
-100.0,-69.0,-62.0,-100.0,-100.0,-69.0,-100.0,-56,-100.0,-67.0,-68,-100.0,-66.0,-67,-100.0,-100.0,-100.0,-100.0,7
-77.0,-72.0,-65.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-68.0,-68,-100.0,-67.0,-67,-77.0,-100.0,-100.0,-100.0,7
