aya1,STUDBME2,aya2,DIRECT-SUDESKTOP-47FLMSPmsXJ,POCO F3,Daisy,Maisaa,Mohamed���s iPhone,Aya,Redmi,CMP-lab1,Farouk,El-lab,y9,CMP_LAB1,CMP_LAB4,CMP_LAB3,CMP_LAB2,sheren,YMEM,STUDBME3,D-Link_DAP-1360,madoo,WE_B27C4B,WE_0CF411,CUFE,badra22,youssef,ahmedNasser,location
-48,-51,-79,-67,-81,-72,-81,-100,-100,-100,-61,-78,-100,-56,-62,-60,-66,-59,-100,-100,-100,-100,-55,-100,-52,-100,-74,-100,-100,HW 31
-46,-49,-76,-70,-81,-63,-100,-92,-100,-77,-59,-74,-74,-58,-67,-100,-100,-65,-56,-65,-100,-100,-63,-73,-54,-100,-100,-100,-100,HW 31
-52,-51,-72,-76,-83,-58,-74,-100,-87,-73,-58,-71,-76,-100,-100,-100,-54,-59,-100,-100,-100,-100,-67,-72,-56,-100,-100,-100,-100,HW 31
-53,-51,-82,-100,-100,-67,-100,-100,-100,-73,-59,-76,-100,-61,-53,-57,-57,-55,-63,-100,-100,-100,-59,-100,-61,-100,-100,-100,-100,HW 31
-50,-51,-82,-68,-76,-59,-73,-100,-100,-100,-68,-79,-100,-53,-53,-55,-52,-52,-56,-100,-100,-88,-64,-88,-58,-100,-100,-100,-100,HW 31
-50,-46,-69,-70,-72,-56,-79,-89,-88,-100,-100,-70,-100,-51,-53,-51,-51,-52,-55,-100,-100,-100,-68,-100,-100,-62,-100,-100,-100,HW 31
-47,-45,-72,-67,-79,-54,-83,-100,-83,-70,-62,-100,-100,-55,-100,-100,-100,-100,-60,-100,-100,-100,-55,-100,-60,-100,-72,-100,-100,HW 31
-58,-48,-81,-69,-73,-65,-84,-100,-85,-82,-56,-100,-70,-100,-57,-100,-100,-100,-100,-100,-100,-100,-63,-100,-67,-100,-100,-100,-100,HW 31
-61,-46,-76,-68,-76,-63,-100,-86,-84,-100,-58,-100,-74,-58,-59,-62,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,HW 31
-60,-39,-74,-63,-87,-70,-76,-100,-100,-100,-60,-100,-77,-100,-55,-53,-54,-53,-60,-100,-100,-88,-70,-100,-64,-67,-74,-74,-100,HW 31
-59,-41,-78,-67,-81,-57,-100,-100,-100,-100,-61,-72,-100,-57,-61,-62,-60,-59,-51,-100,-100,-100,-67,-100,-100,-66,-73,-72,-100,HW 31
-59,-46,-83,-68,-69,-58,-100,-100,-100,-71,-64,-73,-72,-100,-57,-100,-100,-100,-55,-70,-100,-100,-60,-100,-100,-100,-100,-100,-100,HW 31
-60,-45,-69,-63,-76,-56,-100,-100,-84,-100,-61,-100,-71,-64,-100,-100,-100,-63,-54,-72,-100,-100,-60,-100,-62,-100,-74,-100,-100,HW 31
-57,-57,-72,-66,-71,-61,-66,-85,-100,-100,-60,-100,-100,-100,-55,-100,-100,-53,-59,-100,-100,-100,-69,-100,-57,-67,-71,-100,-100,HW 31
-58,-49,-78,-74,-84,-59,-77,-90,-100,-69,-100,-100,-100,-100,-56,-58,-56,-54,-100,-100,-100,-91,-59,-100,-56,-100,-100,-77,-85,HW 31
-54,-48,-83,-70,-76,-65,-82,-100,-100,-100,-65,-100,-100,-50,-55,-57,-56,-100,-100,-74,-100,-100,-55,-100,-100,-67,-73,-100,-100,HW 31
-56,-48,-84,-73,-76,-59,-74,-87,-86,-100,-67,-100,-100,-51,-100,-100,-55,-57,-55,-67,-100,-100,-57,-100,-54,-100,-100,-100,-79,HW 31
-46,-49,-81,-100,-76,-68,-79,-100,-86,-100,-63,-100,-74,-64,-100,-100,-100,-100,-54,-100,-100,-100,-58,-100,-59,-71,-79,-100,-100,HW 31
