aya2,Daisy,aya1,STUDBME2,Ayazz,"Ahmed Galal ",sss,Redmi,01141472186,El-lab,POCO F3,badra22,WE_0CF411,YMEM,eego024,sheren,Mohamed���s iPhone,CMP-lab1,TP-LINK_IE,CMP_LAB4,Etisalat 4G iModem-8B2D,CMP_LAB3,madoo,CMP_LAB1,RehabLab,location
-61,-46,-76,-49,-48,-63,-65,-65,-100,-66,-67,-66,-100,-56,-74,-68,-80,-72,-100,-100,-100,-68,-69,-100,-100,EL 12
-61,-59,-75,-51,-49,-100,-58,-74,-100,-65,-66,-64,-100,-47,-100,-63,-66,-100,-100,-69,-100,-67,-70,-100,-100,EL 12
-62,-50,-80,-54,-46,-77,-100,-100,-76,-100,-74,-57,-100,-56,-79,-100,-69,-71,-100,-100,-78,-100,-100,-100,-83,EL 12
-60,-57,-78,-56,-53,-100,-100,-100,-100,-100,-70,-64,-100,-59,-74,-79,-72,-71,-100,-100,-100,-75,-79,-100,-100,EL 12
-65,-56,-73,-51,-44,-69,-65,-68,-100,-73,-67,-60,-100,-71,-100,-71,-74,-100,-100,-69,-100,-100,-75,-100,-100,EL 12
-57,-65,-73,-58,-43,-66,-53,-100,-100,-60,-62,-56,-100,-50,-100,-100,-70,-100,-100,-100,-100,-100,-76,-100,-100,EL 12
-58,-48,-80,-49,-49,-58,-56,-69,-100,-63,-67,-54,-100,-51,-81,-72,-74,-69,-100,-100,-73,-100,-76,-100,-100,EL 12
-57,-56,-75,-58,-56,-63,-58,-100,-92,-61,-67,-52,-100,-50,-81,-100,-82,-100,-100,-100,-100,-100,-100,-73,-85,EL 12
-52,-51,-100,-71,-49,-66,-46,-100,-100,-60,-56,-47,-100,-56,-82,-100,-100,-100,-100,-100,-74,-100,-72,-77,-100,EL 12
-54,-59,-81,-56,-55,-70,-48,-70,-100,-50,-58,-57,-100,-54,-75,-100,-73,-76,-100,-71,-69,-70,-100,-100,-100,EL 12
-47,-65,-65,-55,-44,-73,-73,-77,-86,-58,-66,-52,-100,-64,-100,-100,-78,-100,-100,-100,-100,-100,-77,-100,-100,EL 12
-40,-56,-76,-55,-47,-69,-51,-100,-100,-54,-60,-53,-100,-62,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,EL 12
-50,-57,-78,-49,-46,-65,-53,-100,-100,-100,-59,-51,-79,-51,-79,-100,-100,-77,-100,-69,-100,-68,-79,-100,-100,EL 12
-46,-54,-82,-52,-50,-69,-50,-68,-100,-58,-58,-55,-79,-57,-100,-76,-100,-100,-100,-100,-100,-100,-100,-80,-100,EL 12
-51,-60,-100,-53,-100,-56,-100,-100,-100,-50,-55,-58,-100,-57,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,EL 12
-52,-58,-77,-57,-51,-100,-59,-100,-100,-100,-54,-59,-76,-57,-76,-73,-100,-100,-100,-71,-100,-100,-100,-100,-100,EL 12
-68,-55,-65,-52,-53,-100,-61,-100,-100,-54,-64,-68,-100,-47,-100,-72,-100,-100,-100,-72,-74,-100,-100,-72,-100,EL 12
-59,-59,-72,-58,-52,-64,-60,-100,-100,-100,-59,-57,-100,-47,-84,-100,-100,-100,-100,-100,-77,-100,-100,-100,-86,EL 12
-58,-56,-70,-57,-51,-61,-100,-63,-100,-100,-65,-64,-100,-100,-100,-100,-100,-68,-100,-75,-72,-100,-100,-100,-100,EL 12
-65,-57,-79,-55,-100,-73,-51,-100,-100,-62,-61,-54,-100,-51,-82,-66,-100,-100,-100,-100,-100,-100,-100,-73,-100,EL 12
-58,-51,-70,-54,-50,-60,-100,-100,-100,-58,-60,-57,-100,-48,-73,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,EL 12
-64,-54,-80,-54,-47,-63,-46,-66,-100,-61,-64,-52,-100,-54,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,EL 12
-59,-55,-71,-47,-53,-100,-60,-70,-100,-100,-65,-100,-100,-49,-100,-76,-100,-100,-100,-100,-72,-100,-100,-100,-100,EL 12
-58,-50,-73,-58,-57,-56,-54,-100,-100,-100,-59,-67,-100,-54,-100,-100,-100,-69,-100,-72,-100,-100,-100,-100,-100,EL 12
-65,-49,-70,-59,-55,-100,-63,-100,-100,-57,-65,-57,-74,-61,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,EL 12
-53,-51,-61,-49,-43,-100,-56,-100,-100,-63,-69,-51,-100,-100,-100,-68,-100,-63,-100,-71,-76,-100,-100,-100,-100,EL 12
-57,-43,-66,-45,-44,-65,-51,-100,-100,-66,-60,-65,-100,-58,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,EL 12
-57,-43,-72,-45,-48,-100,-100,-100,-100,-100,-63,-52,-100,-66,-100,-69,-100,-100,-100,-64,-100,-100,-100,-100,-100,EL 12
-58,-50,-76,-49,-100,-65,-60,-59,-100,-66,-67,-58,-70,-58,-100,-67,-100,-65,-100,-100,-100,-100,-100,-67,-100,EL 12
-62,-45,-65,-52,-46,-66,-55,-100,-100,-100,-61,-57,-100,-74,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-74,EL 12
-66,-43,-70,-51,-49,-100,-56,-100,-100,-100,-70,-60,-71,-54,-77,-67,-100,-100,-100,-100,-100,-100,-100,-65,-100,EL 12
-60,-44,-66,-44,-100,-100,-53,-64,-100,-100,-57,-59,-100,-49,-100,-69,-100,-100,-100,-66,-100,-100,-100,-100,-100,EL 12
-58,-62,-64,-45,-100,-100,-50,-65,-100,-100,-66,-57,-100,-55,-73,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,EL 12
-54,-49,-62,-45,-46,-62,-62,-63,-100,-100,-69,-58,-100,-73,-79,-62,-100,-59,-100,-100,-100,-100,-100,-100,-100,EL 12
-61,-44,-77,-51,-40,-66,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-67,-100,EL 12
-57,-55,-73,-49,-45,-73,-100,-71,-100,-54,-63,-57,-100,-53,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,EL 12
-60,-52,-76,-47,-38,-100,-100,-100,-100,-100,-73,-55,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,EL 12
-54,-44,-65,-46,-45,-68,-100,-100,-100,-58,-60,-57,-100,-58,-100,-100,-100,-67,-100,-100,-100,-66,-100,-66,-100,EL 12
-61,-61,-70,-44,-45,-65,-100,-100,-100,-52,-76,-51,-100,-56,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-78,EL 12
-62,-59,-82,-56,-34,-100,-100,-100,-100,-63,-72,-57,-80,-47,-100,-72,-100,-100,-100,-100,-75,-100,-100,-100,-100,EL 12
-60,-46,-79,-54,-43,-64,-100,-100,-100,-60,-49,-60,-82,-59,-83,-68,-100,-65,-100,-100,-100,-100,-100,-73,-100,EL 12
-59,-54,-75,-57,-100,-55,-100,-100,-100,-62,-56,-54,-100,-55,-81,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,EL 12
-57,-51,-75,-47,-58,-68,-100,-100,-100,-60,-69,-64,-100,-44,-100,-100,-100,-72,-100,-70,-100,-100,-100,-67,-100,EL 12
-52,-55,-70,-63,-68,-65,-100,-100,-100,-64,-54,-54,-100,-45,-100,-67,-100,-100,-100,-100,-73,-100,-100,-100,-100,EL 12
-52,-55,-74,-53,-68,-58,-100,-100,-100,-50,-50,-57,-100,-35,-72,-64,-100,-100,-100,-100,-76,-100,-100,-100,-83,EL 12
-53,-54,-72,-52,-100,-60,-100,-100,-100,-60,-55,-54,-100,-100,-100,-100,-100,-100,-100,-73,-77,-100,-100,-100,-100,EL 12
-58,-52,-85,-58,-100,-68,-100,-68,-100,-100,-53,-56,-76,-100,-77,-72,-100,-100,-100,-100,-77,-100,-100,-100,-100,EL 12
-60,-56,-76,-50,-100,-62,-100,-100,-100,-64,-55,-57,-100,-46,-100,-100,-100,-100,-100,-100,-73,-72,-100,-100,-100,EL 12
