aya2,Daisy,aya1,STUDBME2,y9,Farouk,CMP_LAB3,CUFE,CMP_LAB1,CMP_LAB4,CMP_LAB2,STUDBME3,sheren,RehabLab,eego024,STUDBME1,Redmi,CMP-lab1,El-lab,Maisaa,POCO F3,YMEM,WE_0CF411,Ayazz,BMEStudentLab3,location
-70,-64,-58,-52,-77,-66,-100,-63,-47,-100,-100,-100,-51,-69,-77,-100,-61,-100,-100,-100,-79,-100,-100,-100,-100,HW 32
-72,-67,-61,-51,-47,-54,-48,-100,-100,-51,-100,-81,-48,-70,-73,-57,-59,-64,-100,-80,-73,-67,-65,-100,-100,HW 32
-84,-58,-67,-46,-48,-56,-100,-100,-49,-48,-47,-82,-51,-68,-100,-100,-63,-72,-75,-76,-79,-100,-100,-72,-100,HW 32
-76,-65,-66,-51,-53,-54,-49,-100,-48,-49,-50,-100,-52,-62,-73,-100,-100,-68,-75,-87,-83,-75,-100,-69,-100,HW 32
-78,-56,-62,-47,-48,-63,-50,-58,-48,-44,-44,-84,-48,-67,-100,-100,-67,-100,-100,-100,-78,-73,-100,-100,-100,HW 32
-72,-67,-65,-61,-100,-100,-45,-58,-45,-45,-47,-77,-48,-67,-76,-100,-100,-71,-100,-80,-83,-100,-100,-100,-100,HW 32
-69,-64,-66,-50,-46,-51,-48,-56,-46,-49,-46,-84,-46,-100,-100,-100,-64,-73,-100,-100,-84,-100,-100,-100,-100,HW 32
-66,-66,-61,-48,-54,-64,-50,-57,-50,-48,-100,-100,-44,-59,-100,-100,-66,-69,-100,-100,-75,-100,-100,-100,-100,HW 32
-79,-64,-70,-49,-42,-54,-47,-56,-51,-48,-48,-76,-53,-58,-72,-100,-63,-75,-100,-100,-74,-100,-100,-100,-100,HW 32
-71,-64,-67,-49,-49,-59,-50,-100,-100,-100,-47,-76,-51,-63,-79,-100,-64,-72,-73,-84,-79,-100,-100,-100,-100,HW 32
-100,-68,-68,-54,-55,-49,-49,-55,-48,-51,-52,-100,-47,-61,-100,-100,-73,-100,-100,-100,-77,-100,-72,-100,-100,HW 32
-100,-58,-65,-48,-100,-54,-100,-100,-46,-100,-50,-75,-48,-61,-79,-100,-58,-71,-74,-73,-80,-75,-100,-100,-100,HW 32
-71,-68,-61,-47,-47,-55,-47,-61,-50,-46,-50,-100,-48,-70,-100,-100,-58,-100,-73,-69,-82,-100,-100,-100,-100,HW 32
-77,-58,-63,-79,-45,-58,-51,-100,-52,-75,-52,-89,-50,-70,-100,-100,-55,-64,-69,-100,-71,-100,-100,-100,-100,HW 32
