STUDBME2,POCO F3,Daisy,aya2,aya1,CAEDS,Rannnia,"Ahmed Galal ",El-lab,Redmi,y9,badra22,YMEM,RehabLab,Ayazz,CMP-lab1,TP-LINK_IE,CMP_LAB3,CMP_LAB2,CMP_LAB4,Redmi Note 7,Farouk,01118680688,location
-53,-56,-54,-50,-80,-100,-100,-58,-55,-100,-77,-45,-58,-100,-65,-71,-100,-72,-73,-72,-100,-100,-100,EL 11
-54,-61,-69,-47,-79,-100,-64,-100,-47,-100,-76,-37,-62,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-50,-63,-55,-51,-77,-93,-55,-57,-48,-100,-85,-41,-62,-82,-55,-100,-100,-100,-100,-71,-100,-100,-100,EL 11
-57,-58,-71,-52,-76,-100,-63,-56,-44,-100,-77,-50,-56,-100,-54,-73,-100,-100,-75,-100,-100,-79,-100,EL 11
-58,-62,-60,-65,-75,-89,-60,-65,-49,-100,-79,-52,-57,-92,-100,-77,-100,-74,-100,-72,-100,-100,-100,EL 11
-59,-58,-52,-59,-78,-100,-69,-55,-51,-100,-72,-56,-66,-87,-100,-72,-100,-100,-100,-100,-100,-100,-100,EL 11
-57,-61,-69,-54,-73,-100,-65,-59,-45,-68,-75,-100,-66,-100,-53,-100,-100,-70,-74,-72,-100,-100,-100,EL 11
-61,-57,-62,-50,-77,-100,-55,-49,-43,-71,-80,-46,-52,-100,-55,-100,-100,-74,-71,-70,-100,-100,-100,EL 11
-48,-65,-56,-67,-80,-100,-64,-57,-45,-100,-72,-48,-57,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-54,-52,-54,-52,-79,-100,-64,-60,-41,-100,-78,-45,-60,-100,-51,-73,-100,-73,-73,-100,-100,-100,-100,EL 11
-55,-55,-66,-58,-73,-100,-61,-53,-47,-69,-86,-59,-71,-87,-54,-72,-100,-81,-100,-100,-100,-100,-82,EL 11
-67,-56,-57,-56,-80,-100,-100,-54,-100,-100,-100,-51,-57,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,EL 11
-58,-65,-56,-53,-78,-100,-65,-59,-100,-100,-72,-53,-59,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-55,-71,-58,-57,-74,-100,-64,-61,-53,-71,-83,-46,-70,-90,-69,-78,-100,-100,-100,-71,-100,-100,-100,EL 11
-54,-61,-55,-53,-82,-100,-61,-50,-47,-100,-85,-46,-65,-86,-63,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-58,-64,-69,-58,-100,-100,-100,-54,-46,-73,-73,-58,-62,-100,-53,-73,-100,-72,-73,-100,-100,-82,-100,EL 11
-57,-60,-57,-54,-77,-93,-61,-55,-52,-100,-80,-56,-56,-100,-60,-100,-100,-100,-100,-73,-100,-82,-86,EL 11
-55,-60,-62,-57,-76,-100,-78,-49,-49,-100,-69,-53,-60,-100,-70,-72,-100,-100,-73,-100,-100,-100,-100,EL 11
-59,-69,-58,-46,-70,-100,-71,-54,-49,-100,-79,-50,-71,-100,-57,-100,-100,-73,-100,-100,-100,-100,-100,EL 11
-56,-72,-59,-48,-88,-100,-100,-50,-50,-100,-83,-50,-59,-100,-55,-100,-100,-100,-100,-100,-100,-79,-81,EL 11
-69,-64,-68,-57,-84,-100,-100,-44,-54,-73,-85,-57,-58,-88,-55,-75,-100,-100,-100,-100,-100,-100,-100,EL 11
-51,-58,-63,-56,-79,-100,-69,-46,-49,-100,-83,-53,-63,-100,-53,-78,-100,-72,-71,-100,-100,-100,-100,EL 11
-55,-55,-62,-53,-77,-100,-75,-46,-47,-74,-85,-57,-61,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-55,-51,-58,-54,-73,-100,-100,-45,-49,-100,-74,-47,-69,-84,-63,-74,-100,-100,-100,-100,-100,-100,-100,EL 11
-52,-74,-59,-58,-78,-100,-100,-57,-49,-100,-79,-48,-57,-100,-75,-100,-100,-69,-100,-73,-100,-85,-100,EL 11
-56,-59,-61,-57,-78,-100,-70,-55,-49,-74,-81,-53,-66,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-51,-63,-59,-54,-83,-100,-100,-47,-48,-100,-73,-52,-67,-88,-61,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-68,-72,-58,-56,-82,-100,-100,-55,-46,-100,-77,-50,-57,-100,-53,-100,-100,-69,-100,-100,-100,-100,-100,EL 11
-60,-55,-65,-49,-77,-95,-59,-56,-47,-100,-84,-49,-61,-100,-54,-100,-100,-100,-100,-100,-100,-100,-76,EL 11
-58,-57,-60,-57,-80,-100,-100,-58,-47,-100,-85,-51,-63,-86,-54,-100,-100,-100,-80,-100,-100,-100,-100,EL 11
-59,-64,-64,-58,-87,-100,-71,-53,-49,-100,-85,-56,-61,-100,-61,-100,-100,-73,-100,-71,-100,-100,-100,EL 11
-57,-55,-55,-51,-78,-100,-68,-56,-52,-100,-88,-52,-77,-100,-55,-100,-100,-100,-100,-74,-100,-100,-100,EL 11
-68,-65,-66,-53,-87,-100,-100,-56,-44,-100,-86,-54,-100,-100,-55,-100,-100,-75,-100,-100,-100,-100,-100,EL 11
-63,-57,-75,-55,-86,-100,-100,-53,-78,-100,-86,-56,-90,-100,-65,-100,-72,-79,-100,-100,-100,-100,-100,EL 11
-69,-63,-63,-59,-87,-100,-100,-63,-48,-100,-89,-54,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-74,EL 11
-63,-55,-66,-56,-82,-100,-100,-57,-47,-100,-85,-59,-78,-100,-60,-76,-100,-100,-84,-100,-100,-100,-100,EL 11
-62,-55,-60,-59,-75,-100,-100,-52,-50,-100,-79,-56,-100,-100,-56,-75,-100,-100,-100,-74,-100,-100,-78,EL 11
-59,-66,-56,-56,-74,-93,-68,-44,-52,-73,-83,-100,-100,-100,-50,-71,-100,-100,-100,-100,-100,-100,-100,EL 11
-59,-66,-58,-54,-83,-100,-100,-51,-53,-100,-76,-48,-100,-84,-60,-73,-78,-100,-70,-100,-100,-100,-100,EL 11
-57,-56,-59,-59,-81,-100,-100,-50,-51,-100,-82,-100,-78,-100,-62,-73,-100,-100,-100,-70,-100,-100,-83,EL 11
-59,-63,-69,-58,-79,-100,-69,-58,-48,-74,-81,-50,-100,-100,-55,-100,-100,-73,-76,-77,-100,-78,-76,EL 11
-59,-66,-67,-62,-77,-100,-66,-100,-47,-100,-80,-45,-85,-83,-58,-74,-100,-100,-100,-100,-100,-100,-100,EL 11
